Date,Steel_Price,Cement_Price,USD_Buy,USD_Sell,Oil_Price,Oil_Open,Oil_High,Oil_Low,Oil_Volume,Oil_Change_Percent,Aluminium_Price,Aluminium_Open,Aluminium_High,Aluminium_Low,Aluminium_Volume,Aluminium_Change_Percent,Copper_Price
2023-01-11,26848.08,1905.65,29.6333,29.7631,77.68,75.06,78.06,74.56,179830.0,3.06%,2510.0,2487.0,2486.0,2485.0,54330.0,1.89,4.1776
2023-01-12,27059.24,1903.71,29.5053,29.6367,78.65,77.9,79.37,77.35,188060.0,1.25%,2548.5,2482.0,2475.5,2476.0,56550.0,1.53,4.1728
2023-01-23,26985.0,,29.8332,29.9206,81.93,82.12,82.89,81.32,104290.0,0.36%,2636.5,2625.0,2620.0,2619.0,24390.0,1.0,4.2624
2023-01-25,27390.62,1935.4,29.8585,29.9433,80.44,80.44,81.5,79.77,101060.0,0.00%,2658.5,2637.0,2638.0,2637.0,29940.0,0.3,4.2656
2023-02-01,28824.49,1979.33,30.1611,30.2529,76.73,79.35,80.01,76.37,113870.0,-3.08%,2631.5,2645.0,2642.0,2644.0,43500.0,-0.47,4.1872
2023-02-02,28500.0,,30.2408,30.3337,76.2,77.06,77.54,75.3,94840.0,-0.69%,2617.0,2610.0,2607.0,2609.0,55120.0,-0.55,4.0944
2023-02-12,29066.67,1999.39,30.482,30.5834,,,,,,,,,,,,,
2023-02-13,29157.35,1991.58,30.4852,30.5834,80.33,80.05,80.78,78.67,155590.0,0.51%,2412.5,2430.0,2424.0,2424.0,54610.0,-1.15,4.072
2023-02-15,28891.63,2006.49,30.5237,30.6234,78.83,79.04,79.37,77.47,150590.0,-0.52%,2384.5,2398.0,2393.0,2390.5,47140.0,-0.98,4.032
2023-02-19,28581.74,2006.86,30.5265,30.6234,76.67,76.69,76.82,76.53,,0.16%,,,,,,,
2023-02-28,26500.0,,30.5765,30.6849,77.19,75.87,77.93,75.68,88930.0,1.82%,2373.0,2350.0,2345.0,2345.0,38400.0,0.42,4.0736
2023-03-01,28684.93,1899.9,30.5794,30.6857,77.83,76.93,78.0,76.3,104500.0,0.83%,2431.5,2415.0,2405.5,2406.0,49090.0,2.47,4.1664
2023-03-02,,,30.6698,30.7757,78.31,77.9,78.72,77.39,61370.0,0.62%,2399.5,2412.0,2410.0,2411.0,43510.0,-1.32,4.072
2023-03-06,26985.0,,30.7285,30.8357,80.56,80.04,80.72,78.44,80130.0,0.97%,2382.0,2370.0,2367.0,2367.0,39030.0,-0.96,4.0752
2023-03-11,29006.22,1925.26,,,,,,,,,,,,,,,
2023-04-19,39878.79,2085.14,30.8312,30.9557,79.24,80.96,81.24,78.53,350780.0,-2.05%,2445.0,2409.0,2401.0,2402.0,69600.0,0.33,4.0704
2023-05-11,41293.18,2056.38,30.8432,30.9557,70.88,72.54,73.47,70.65,172290.0,-2.26%,2211.0,2245.0,2240.0,2236.0,96500.0,-2.51,3.7008
2023-05-13,41728.57,2068.4,,,,,,,,,,,,,,,
2023-05-17,40434.95,1998.47,30.8375,30.9557,72.89,70.6,73.3,70.05,219090.0,2.89%,2296.5,2277.0,2273.0,2273.0,58170.0,1.64,3.7504
2023-05-18,40968.57,2063.4,30.8318,30.9557,71.94,72.82,72.97,71.52,239920.0,-1.30%,2283.5,2304.0,2302.0,2304.0,49960.0,-0.57,3.7008
2023-05-19,39530.77,2025.81,,,71.69,72.06,73.58,71.18,312430.0,-0.35%,2283.5,2297.0,2295.0,2297.0,37970.0,0.0,3.7312
2023-06-02,40066.67,2042.86,,,71.84,70.25,72.24,70.1,110940.0,2.34%,2263.5,2288.0,2289.0,2288.0,69550.0,-0.83,3.7376
2023-06-06,39763.0,,30.8379,30.9586,71.85,72.09,72.42,70.29,118290.0,-0.57%,2210.0,2220.0,2218.5,2219.0,62460.0,-1.52,3.776
2023-06-07,39763.0,,30.8387,30.9586,72.64,71.7,73.29,71.14,109560.0,1.10%,2219.0,2215.0,2213.0,2215.0,48790.0,0.41,3.7584
2023-06-10,37500.0,,,,,,,,,,,,,,,,
2023-06-11,39509.62,1954.07,30.8358,30.9586,,,,,,,,,,,,,
2023-06-17,39259.26,2007.5,,,,,,,,,,,,,,,
2023-06-19,38782.0,,30.8358,30.9586,71.31,71.47,72.25,70.83,,-0.22%,2241.0,2245.0,2244.0,2244.0,38240.0,-1.32,3.872
2023-06-21,37100.0,,30.8386,30.9586,72.52,70.86,72.69,70.8,97510.0,1.87%,2223.0,2209.0,2204.5,2205.0,48180.0,-0.31,3.9024
2023-06-22,33301.0,2030.0,30.8386,30.9586,69.63,72.4,72.62,69.07,234790.0,-3.99%,2201.0,2235.0,2234.5,2234.0,38740.0,-0.99,3.8992
2023-06-23,37100.0,2030.0,,,69.32,69.66,69.77,67.52,113920.0,-0.45%,2174.5,2176.0,2174.0,2175.0,49790.0,-1.2,3.8176
2023-06-24,32135.0,,,,,,,,,,,,,,,,
2023-06-25,38960.0,,30.8323,30.9586,,,,,,,,,,,,,
2023-06-26,37100.0,,30.8352,30.9586,69.54,69.93,70.24,68.88,94210.0,0.32%,2148.5,2155.0,2155.0,2155.0,51760.0,-1.2,3.7968
2023-06-27,39233.33,2048.59,,,67.9,69.63,70.29,67.71,170460.0,-2.36%,2195.0,2194.0,2191.0,2191.5,64050.0,2.16,3.7904
2023-07-01,37100.0,,,,,,,,,,,,,,,,
2023-07-02,37100.0,,,,,,,,,,,,,,,,
