resource,horizon,family,regime,test_rmse,naive_rmse,test_r2,test_diracc,test_coverage,dm_p,beats_naive,accepted
steel,1,xgboost,trunc50,444.97093968396706,441.64998795925123,0.6600628915538782,0.6666666666666666,0.3813559322033898,0.9075602930819513,False,True
steel,21,xgboost,trunc50,718.3928559826483,692.498320379778,-0.7467876083905787,0.5625,0.2711864406779661,0.38211241256044404,False,True
cement,1,ridge,full,80.32544239038911,84.09728561776451,-0.42364829825989925,0.7192982456140351,0.49137931034482757,0.6065778974198812,True,True
cement,21,ridge,full,121.43336769603283,97.62423561447406,-1.6187036988770296,0.6263736263736264,0.7844827586206896,0.0036561660703384735,False,True
oil,1,ridge,full,4.639594714498404,4.620591534536706,0.860422765953349,0.4583333333333333,0.7741935483870968,0.8223348949578866,False,False
oil,21,lightgbm,full,14.259138310000724,15.401771002063368,-0.4110164977553321,0.6829268292682927,0.82,0.010402959994871397,True,False
aluminium,1,xgboost,trunc50,53.858924322708205,53.47365963328369,0.909565920541355,0.574468085106383,0.7966101694915254,0.7795547956705589,False,False
aluminium,21,xgboost,trunc50,210.36693880015494,239.32039657236814,-0.10210642369259992,0.7931034482758621,0.6444444444444445,0.00920530617651072,True,False
copper,1,ridge,full,0.10746715421146606,0.10632459127444328,0.8955688311287363,0.5106382978723404,0.7580645161290323,0.6443577349645837,False,False
copper,21,lightgbm,full,0.40138286594129785,0.35370093325955365,-0.5460483220399468,0.6739130434782609,0.8679245283018868,0.11466212393898312,False,True
