resource,horizon,naive_rmse,naive_mae,drift_to_noise,vr,vr_z,vr_p,hurst,perm_entropy,ljung_box_p,evidence_score,verdict,headroom
steel,1,886.8991285057863,493.3434497816594,0.001981513029292313,0.6248854196207851,-3.9427472412195357,8.055353835456636e-05,0.42864218331717874,0.9906743542163243,0.0,3,REAL SIGNAL,meaningful headroom
steel,3,1026.1747653897737,660.4240481400439,0.01213418922912442,0.4331448446901069,-4.170448623682987,3.0400058710355893e-05,0.42864218331717874,0.9906743542163243,0.0,3,REAL SIGNAL,meaningful headroom
steel,7,1266.452211624178,722.7049176728868,0.021732399707596956,0.2846979596675078,-3.401717507902611,0.0006696381755459946,0.42864218331717874,0.9906743542163243,0.0,3,REAL SIGNAL,meaningful headroom
steel,14,1856.153295245975,1017.836611295681,0.03937747209215137,0.2871496950162974,-2.5982766960126416,0.009369296230885782,0.42864218331717874,0.9906743542163243,0.0,3,REAL SIGNAL,meaningful headroom
steel,21,2365.4020242282027,1274.8454575892858,0.048184199402109044,0.306675922630774,-2.1543483806417805,0.031212861420658378,0.42864218331717874,0.9906743542163243,0.0,3,REAL SIGNAL,meaningful headroom
cement,1,109.08833018210355,69.69100446428571,0.014362490467267513,0.6453612253532403,-4.783939040767873,1.7189283483265427e-06,0.37806763641345964,0.9933369607467343,0.0,4,REAL SIGNAL,meaningful headroom
cement,3,123.06102649123906,86.79097643097643,0.039295498288116223,0.45206083381137546,-5.390063474893915,7.043280181306955e-08,0.37806763641345964,0.9933369607467343,0.0,4,REAL SIGNAL,meaningful headroom
cement,7,127.3262286920902,85.85985360360361,0.12236687378276803,0.20993518482258738,-5.228703049171061,1.7070328706125792e-07,0.37806763641345964,0.9933369607467343,0.0,4,REAL SIGNAL,meaningful headroom
cement,14,148.17594816866136,103.01847727272727,0.21156292396374288,0.14984073400946182,-4.271967386334099,1.9375591888026733e-05,0.37806763641345964,0.9933369607467343,0.0,4,REAL SIGNAL,meaningful headroom
cement,21,169.02411131640395,118.3338258877434,0.28550535414811545,0.1272372617136448,-3.6916540711849413,0.00022280036524380264,0.37806763641345964,0.9933369607467343,0.0,4,REAL SIGNAL,meaningful headroom
oil,1,2.128542395829783,1.330451866404715,0.016472998763421638,0.9963275631247993,-0.07170931584199972,0.9428332422816947,0.4807366122745185,0.997236690675667,0.5364236230402191,0,LITTLE/NO SIGNAL,naive baseline likely near-optimal
oil,3,3.062207922302665,1.9832273838630803,0.0008423971422080798,0.9764910883102006,-0.306744394853746,0.7590379354560046,0.4807366122745185,0.997236690675667,0.5364236230402191,0,LITTLE/NO SIGNAL,naive baseline likely near-optimal
oil,7,4.672547561615987,3.108568872987478,0.01828837932839004,0.9612320378724236,-0.2615167163721435,0.7936940601351843,0.4807366122745185,0.997236690675667,0.5364236230402191,0,LITTLE/NO SIGNAL,naive baseline likely near-optimal
oil,14,6.2767842703648045,4.144873786407766,0.02609730386151234,0.8707359414264475,-0.5837958302521734,0.5593576839602794,0.4807366122745185,0.997236690675667,0.5364236230402191,0,LITTLE/NO SIGNAL,naive baseline likely near-optimal
oil,21,7.210536032467952,4.894522821576763,0.03621851653355369,0.8931239028918639,-0.38914382549671994,0.6971697553940879,0.4807366122745185,0.997236690675667,0.5364236230402191,0,LITTLE/NO SIGNAL,naive baseline likely near-optimal
aluminium,1,34.36782434196264,25.324512195121944,0.05628771915447947,0.9955338486453633,-0.10764186758851382,0.9142797843862296,0.5418862616329927,0.9936415774989338,0.33496390723085234,0,LITTLE/NO SIGNAL,naive baseline likely near-optimal
aluminium,3,53.24792914248822,37.28900783289816,0.024868506888855384,0.9687827642016009,-0.5088208109286596,0.6108778307722202,0.5418862616329927,0.9936415774989338,0.33496390723085234,0,LITTLE/NO SIGNAL,naive baseline likely near-optimal
aluminium,7,78.66307756768904,58.723846153846154,0.08850030813760831,0.982993736011548,-0.14365196420438076,0.8857753046649641,0.5418862616329927,0.9936415774989338,0.33496390723085234,0,LITTLE/NO SIGNAL,naive baseline likely near-optimal
