resource,horizon,variant,n_feat,rmse,skill,naive,delta_vs_all,pruned_features
steel,1,ALL,229,555.4704328180999,0.84085536094963,660.601642820916,,
steel,1,minus_own_lags,196,553.3040637100468,0.8375759729378136,660.601642820916,-2.166369108053118,
steel,1,minus_own_rolling,172,556.2341938970713,0.8420115207734385,660.601642820916,0.7637610789714699,
steel,1,minus_own_momentum,200,561.5055503770071,0.8499911504598345,660.601642820916,6.035117558907245,
steel,1,minus_calendar,223,559.8067395958689,0.8474195389605292,660.601642820916,4.336306777768982,
steel,1,minus_cross_resource,164,582.6598411540207,0.8820139148699866,660.601642820916,27.189408335920803,
steel,1,minus_fx,221,560.2760009578237,0.8481298934791026,660.601642820916,4.805568139723846,
steel,1,minus_external_macro,198,561.8029300357542,0.8504413153390457,660.601642820916,6.33249721765435,
steel,1,PRUNED,30,567.0319088112162,0.8583567948603091,660.601642820916,11.561475993116346,"[""own_z_7"", ""own_dist_low_7"", ""own_dist_high_7"", ""own_dist_mean_7"", ""aluminium_vol_7"", ""own_range_3"", ""dow"", ""own_ret_lag_45"", ""own_vol_7"", ""own_std_14"", ""own_mom_7"", ""own_mom_5"", ""aluminium_vol_21"", ""own_vol_3"", ""own_ret_lag_3"", ""cement_z_21"", ""copper_vol_21"", ""own_z_14"", ""own_max_3"", ""own_std_3"", ""own_ret_lag_14"", ""cement_ret_5"", ""ratio_own_copper_z21"", ""own_z_5"", ""own_logret_lag_14"", ""own_lag_45"", ""own_vol_21"", ""usd_level"", ""own_mom_21"", ""own_vol_14""]"
steel,3,ALL,229,572.4569253082673,0.820068580214114,698.059819776052,,
steel,3,minus_own_lags,196,567.204955075561,0.8125449123508194,698.059819776052,-5.251970232706299,
steel,3,minus_own_rolling,172,565.176945304154,0.809639703206913,698.059819776052,-7.279980004113327,
steel,3,minus_own_momentum,200,575.314764524689,0.824162554878547,698.059819776052,2.8578392164217803,
steel,3,minus_calendar,223,573.7290001959544,0.8218908808990256,698.059819776052,1.272074887687154,
steel,3,minus_cross_resource,164,595.0060820064641,0.8523711939148008,698.059819776052,22.54915669819684,
steel,3,minus_fx,221,573.7264485784597,0.8218872255998342,698.059819776052,1.2695232701923942,
steel,3,minus_external_macro,198,581.4900532583705,0.8330089152601867,698.059819776052,9.033127950103221,
steel,3,PRUNED,30,595.3082324663017,0.8528040371343611,698.059819776052,22.851307158034388,"[""own_dist_low_7"", ""own_ret_1"", ""own_dist_mean_7"", ""usd_ret_5"", ""copper_vol_21"", ""own_ret_lag_3"", ""own_mom_5"", ""gap_roll_mean_5"", ""aluminium_vol_7"", ""own_range_14"", ""days_since_prev_obs"", ""own_ret_lag_45"", ""own_ret_lag_30"", ""own_vol_3"", ""cement_ret_1"", ""own_ret_lag_10"", ""copper_ret_21"", ""own_range_5"", ""own_z_5"", ""own_z_3"", ""own_max_7"", ""own_ret_lag_60"", ""own_range_7"", ""aluminium_lag_1"", ""ratio_own_oil_z21"", ""own_mom_14"", ""own_lag_60"", ""aluminium_lag_7"", ""own_mom_60"", ""own_logret_lag_1""]"
steel,7,ALL,229,637.2231476615025,0.9416683797224648,676.6959169312975,,
steel,7,minus_own_lags,196,708.0611288905301,1.0463505263951771,676.6959169312975,70.8379812290276,
steel,7,minus_own_rolling,172,637.7471330962064,0.942442708961926,676.6959169312975,0.5239854347039454,
steel,7,minus_own_momentum,200,642.9177714201354,0.9500837160886971,676.6959169312975,5.694623758632929,
steel,7,minus_calendar,223,664.6682129786861,0.9822258363739581,676.6959169312975,27.445065317183662,
steel,7,minus_cross_resource,164,727.278161218307,1.074748853985098,676.6959169312975,90.05501355680451,
steel,7,minus_fx,221,644.0738915916489,0.951792194213933,676.6959169312975,6.85074393014645,
steel,7,minus_external_macro,198,715.6984628588178,1.057636738971901,676.6959169312975,78.47531519731535,
steel,7,PRUNED,30,781.0049785394817,1.1541446593637041,676.6959169312975,143.78183087797925,"[""own_dist_mean_7"", ""own_z_3"", ""aluminium_vol_7"", ""aluminium_vol_21"", ""own_ret_1"", ""own_std_3"", ""own_range_7"", ""cement_vol_7"", ""cement_vol_21"", ""cement_z_21"", ""own_range_5"", ""cement_z_7"", ""own_dist_high_7"", ""copper_vol_21"", ""own_z_45"", ""own_vol_5"", ""own_mom_3"", ""aluminium_z_7"", ""oil_vol_7"", ""copper_z_21"", ""natgas_vol_6m"", ""dom"", ""cement_ret_1"", ""aluminium_ret_1"", ""oil_lag_3"", ""copper_z_7"", ""own_range_3"", ""usd_ret_5"", ""oil_z_7"", ""aluminium_lag_3""]"
steel,14,ALL,229,876.7813568780512,1.090305522912532,804.1611625848743,,
steel,14,minus_own_lags,196,943.0381201962894,1.1726979168765284,804.1611625848743,66.2567633182382,
steel,14,minus_own_rolling,172,913.445798696089,1.1358989232456005,804.1611625848743,36.66444181803786,
steel,14,minus_own_momentum,200,823.1851756768433,1.0236569657639505,804.1611625848743,-53.596181201207855,
steel,14,minus_calendar,223,815.9464888531123,1.0146554283103595,804.1611625848743,-60.83486802493883,
steel,14,minus_cross_resource,164,1040.7135196698032,1.2941603848718102,804.1611625848743,163.93216279175203,
steel,14,minus_fx,221,860.2191494267878,1.06970989081557,804.1611625848743,-16.56220745126336,
steel,14,minus_external_macro,198,988.2966120432416,1.228978291946464,804.1611625848743,111.51525516519041,
