resource,horizon,family,rmse,diracc,skill,naive,regime
steel,1,ridge,2823.871280810963,0.5313721896383187,4.274696122087139,660.601642820916,trunc50
steel,1,elasticnet,1687.961893200945,0.5478485805846963,2.555188760949749,660.601642820916,trunc50
steel,1,rf,548.1677281754683,0.7088932642017112,0.8298007341227158,660.601642820916,trunc50
steel,1,extratrees,539.4492122938093,0.6985839858511956,0.8166028924636656,660.601642820916,trunc50
steel,1,xgboost,553.9639734545291,0.7277104685027864,0.8385749255617646,660.601642820916,trunc50
steel,1,lightgbm,562.6108036767819,0.7251331489151576,0.8516642515061097,660.601642820916,trunc50
steel,1,catboost,570.6733373014055,0.696960564238998,0.863869085860131,660.601642820916,trunc50
steel,3,ridge,3088.8929772708643,0.53125,4.424968877684189,698.059819776052,trunc50
steel,3,elasticnet,2015.1160676918707,0.547985347985348,2.886738371989882,698.059819776052,trunc50
steel,3,rf,579.9466411537967,0.698580586080586,0.8307979126199417,698.059819776052,trunc50
steel,3,extratrees,568.7356691199884,0.6889880952380953,0.8147377244867744,698.059819776052,trunc50
steel,3,xgboost,604.900401296359,0.667330586080586,0.8665452217124029,698.059819776052,trunc50
steel,3,lightgbm,619.1259343422898,0.6362408424908425,0.8869238950623382,698.059819776052,trunc50
steel,3,catboost,588.2225837221208,0.6792582417582417,0.8426535478160473,698.059819776052,trunc50
steel,7,ridge,1955.6650193438784,0.546452576549664,2.8900204218942114,676.6959169312975,trunc50
steel,7,elasticnet,1504.73381010382,0.5464983640954515,2.223648425318621,676.6959169312975,trunc50
steel,7,rf,639.4908453077182,0.628351159358441,0.9450195121727674,676.6959169312975,trunc50
steel,7,extratrees,640.8420462662223,0.6258552935737401,0.9470162745658841,676.6959169312975,trunc50
steel,7,xgboost,639.4109590776693,0.6259001920409688,0.9449014588078066,676.6959169312975,trunc50
steel,7,lightgbm,647.3336987860281,0.6402774814182581,0.956609435034835,676.6959169312975,trunc50
steel,7,catboost,631.6494789186897,0.6498484121056937,0.9334317868845939,676.6959169312975,trunc50
steel,14,ridge,759.8340670969266,0.6540064102564103,0.9448778459463724,804.1611625848743,trunc50
steel,14,elasticnet,770.1884775801356,0.6563644688644689,0.9577538849357785,804.1611625848743,trunc50
steel,14,rf,668.9434300651673,0.6922847985347986,0.8318524459884797,804.1611625848743,trunc50
steel,14,extratrees,688.1415332214701,0.6946428571428571,0.8557258982882563,804.1611625848743,trunc50
steel,14,xgboost,697.5375568568246,0.6731456043956044,0.8674101527294334,804.1611625848743,trunc50
steel,14,lightgbm,751.3117776590113,0.6685210622710623,0.9342801077883626,804.1611625848743,trunc50
steel,14,catboost,684.5936584443887,0.6660027472527472,0.8513140030834727,804.1611625848743,trunc50
steel,21,ridge,1040.8785493932733,0.5889652014652015,1.233950213657073,843.533667625381,trunc50
steel,21,elasticnet,1060.6872683573497,0.5937271062271062,1.2574332348147699,843.533667625381,trunc50
steel,21,rf,915.870119172862,0.5842490842490842,1.0857540775475083,843.533667625381,trunc50
steel,21,extratrees,770.2361233738314,0.6298305860805861,0.9131065574917853,843.533667625381,trunc50
steel,21,xgboost,759.5080039287777,0.6777930402930403,0.900388488424958,843.533667625381,trunc50
steel,21,lightgbm,784.873198710194,0.6155906593406594,0.9304586513063299,843.533667625381,trunc50
steel,21,catboost,778.2386213506053,0.6297847985347985,0.922593431915306,843.533667625381,trunc50
cement,1,ridge,118.79447675947743,0.6677409336160093,0.9729001633279983,122.10346059879086,full
cement,1,elasticnet,116.82744414761179,0.6640370507470723,0.9567906067092146,122.10346059879086,full
cement,1,rf,103.2847054738692,0.6754594186072598,0.8458786095608168,122.10346059879086,full
cement,1,extratrees,102.20929672567368,0.6870616138331764,0.8370712527265244,122.10346059879086,full
cement,1,xgboost,115.29157962380145,0.6541493499573743,0.9442122201812775,122.10346059879086,full
cement,1,lightgbm,119.47991426563064,0.638692399156459,0.9785137430151902,122.10346059879086,full
cement,1,catboost,106.76375707184275,0.675958939067618,0.8743712630934228,122.10346059879086,full
cement,3,ridge,129.3013718563744,0.6469177476815968,0.9941367798718657,130.06396551693828,full
cement,3,elasticnet,126.90999997019367,0.6531964727638628,0.975750658268728,130.06396551693828,full
cement,3,rf,108.0004988044443,0.6974347991623834,0.8303644931568641,130.06396551693828,full
cement,3,extratrees,107.28843386609336,0.6993605694705066,0.8248897643530724,130.06396551693828,full
cement,3,xgboost,117.35039426793496,0.6889362541132958,0.9022513945467269,130.06396551693828,full
cement,3,lightgbm,119.66865544950244,0.7045735770036169,0.9200754026980512,130.06396551693828,full
cement,3,catboost,121.06058510704095,0.7019152321122624,0.9307772881280879,130.06396551693828,full
cement,7,ridge,141.91220026563443,0.5678404857088466,1.082636135328138,131.08023613364986,full
cement,7,elasticnet,145.08659347985963,0.5562059775366457,1.1068533118290147,131.08023613364986,full
cement,7,rf,120.52994607690496,0.6261235076554894,0.9195127322933124,131.08023613364986,full
cement,7,extratrees,112.49670326490721,0.6848212586005276,0.8582278044586766,131.08023613364986,full
cement,7,xgboost,119.74822286034274,0.6341376356367789,0.9135490321992328,131.08023613364986,full
cement,7,lightgbm,124.5915146064197,0.629713293084224,0.9504980940024075,131.08023613364986,full
cement,7,catboost,131.87979095234863,0.6354498109923581,1.0060997358738624,131.08023613364986,full
cement,14,ridge,232.36917928016658,0.5529237428559979,1.5490569013860565,150.00687132425452,full
cement,14,elasticnet,264.4016794608166,0.552657331943807,1.7625971205631408,150.00687132425452,full
cement,14,rf,153.3305733516988,0.6163193885313593,1.0221569985301524,150.00687132425452,full
cement,14,extratrees,136.9203971862285,0.6763084573610192,0.9127608354037442,150.00687132425452,full
cement,14,xgboost,142.4159728009311,0.6569665539294971,0.9493963279394384,150.00687132425452,full
cement,14,lightgbm,156.30631692763967,0.6374543093633476,1.0419943803092078,150.00687132425452,full
cement,14,catboost,136.01167444916925,0.6607980668078974,0.9067029613274629,150.00687132425452,full
cement,21,ridge,264.0348767661015,0.4880559803000436,1.551093908961125,170.22494591764848,full
cement,21,elasticnet,265.2393127225241,0.49533753369810185,1.55816946389774,170.22494591764848,full
cement,21,rf,169.66597568396213,0.6525825488353812,0.9967162848507717,170.22494591764848,full
cement,21,extratrees,155.28757575422418,0.6953875819040425,0.9122492294951251,170.22494591764848,full
cement,21,xgboost,160.8849862213872,0.6824848166639033,0.9451316630126599,170.22494591764848,full
cement,21,lightgbm,167.01139199822347,0.6631218412827078,0.9811217216013706,170.22494591764848,full
cement,21,catboost,150.4100837061651,0.678206923232807,0.883596014058542,170.22494591764848,full
oil,1,ridge,1.3712813108003077,0.533296014330497,1.0816122813797955,1.267812259907946,full
oil,1,elasticnet,1.3142385546270556,0.5206812583967757,1.0366192189389938,1.267812259907946,full
oil,1,rf,1.255512940345458,0.5428655396327811,0.990298784803216,1.267812259907946,full
oil,1,extratrees,1.2587838819003145,0.5693517689207345,0.9928787737008578,1.267812259907946,full
oil,1,xgboost,1.2880697609578342,0.5821932377966861,1.0159783129493944,1.267812259907946,full
oil,1,lightgbm,1.353992810603138,0.5514134572324227,1.0679757984841143,1.267812259907946,full
oil,1,catboost,1.3640518927971679,0.5193601656963727,1.0759100033440359,1.267812259907946,full
oil,3,ridge,1.982204526400253,0.5111022117417466,1.021703091645421,1.9400983931721048,full
oil,3,elasticnet,1.9594742147188002,0.5225979834119369,1.0099870303562366,1.9400983931721048,full
oil,3,rf,1.9236633389689428,0.5730761099365751,0.9915287522215354,1.9400983931721048,full
oil,3,extratrees,1.9150354373720286,0.5687249959342983,0.9870816058153125,1.9400983931721048,full
oil,3,xgboost,1.9619400480797253,0.5966250609855261,1.0112580140185101,1.9400983931721048,full
oil,3,lightgbm,1.9915313589888197,0.6146125386241665,1.0265104934871994,1.9400983931721048,full
oil,3,catboost,2.043270002875129,0.5774951211579119,1.0531785449986053,1.9400983931721048,full
oil,7,ridge,5.436906919424079,0.5041461579140056,1.8435761861564441,2.949108889695057,full
oil,7,elasticnet,4.7338349228557455,0.5535890075022809,1.6051746815443062,2.949108889695057,full
oil,7,rf,3.0968159097721317,0.5839594435178782,1.0500853056301858,2.949108889695057,full
oil,7,extratrees,3.263060502290198,0.5509188986581901,1.1064564328879711,2.949108889695057,full
