resource,horizon,family,regime,rmse_mean,rmse_std,naive,skill,dm_stat,dm_p,beats_naive,diracc,dir_p,n_dir,conformal_q90,conformal_coverage,signal_group,bh_significant,n_configs_tested
steel,1,xgboost,trunc50,554.7277017112327,2.2251549855906063,660.601642820916,0.8397310357001566,-6.167678320684111,1.6366150656921263e-09,True,0.744,4.056762984666602e-22,375,767.4689269911339,0.8714285714285714,signal,True,70
steel,21,xgboost,trunc50,758.7270313297222,3.8649662000046727,843.533667625381,0.8994626538921716,-3.1506819197222486,0.0017460181938893093,True,0.6634844868735084,1.0185783369208597e-11,419,1303.6325092100565,0.9428571428571428,signal,True,70
cement,1,ridge,full,111.6828415739462,1.4210854715202004e-14,122.10346059879086,0.9146574636481036,-2.438657861801386,0.015163369836235452,True,0.6666666666666666,2.0681152378358767e-10,351,179.97534902949292,0.9130434782608695,signal,True,70
cement,21,ridge,full,152.31702237663123,0.0,170.22494591764848,0.8947984771298987,-4.544388800391797,7.249585850077622e-06,True,0.6807980049875312,1.7898319028131825e-13,401,285.72476528224456,0.9516908212560387,signal,True,70
oil,1,ridge,full,1.2963929353548573,0.0,1.267812259907946,1.0225433026250956,1.0866039316601583,0.27835931754540644,False,0.5550660792951542,0.055486414360089144,227,1.9769028458641267,0.9217391304347826,control,False,70
oil,21,lightgbm,full,3.7550627304207467,0.05637551419711739,3.874085180643944,0.9692772758797695,-0.8814403389911714,0.37899179651683057,True,0.6523605150214592,1.920292123234733e-06,233,6.532502357553991,0.905982905982906,control,False,70
aluminium,1,xgboost,trunc50,29.73870065144224,0.30045250669464485,28.31839255365389,1.0501549688986527,1.8840975859606623,0.06085278064427224,False,0.5089285714285714,0.4205940927763442,224,53.30979931612134,0.9464285714285714,control,False,70
aluminium,21,xgboost,trunc50,128.95659676599251,1.8093447468845687,95.85355460803135,1.3453501781267019,6.071964085364889,5.386166179732754e-09,False,0.5982142857142857,0.0019826153826471406,224,135.37492751646286,0.5446428571428571,control,False,70
copper,1,ridge,full,0.0816625834774465,0.0,0.08198462533297085,0.9960719238001464,-0.8787122121845116,0.38045873793451346,True,0.5566502463054187,0.061176171223998405,203,0.12328982387181535,0.9067796610169492,control,False,70
copper,21,lightgbm,full,0.2832102927845845,0.004620607583093619,0.36134498645844204,0.7837670464459487,-4.985877130505856,1.191817688095398e-06,True,0.6835443037974683,8.085117991139715e-09,237,0.34533176251668185,0.6638655462184874,control,True,70
