column,n_null,pct_null,leading_nulls,interior_nulls
steel_cop_egp_ratio_z21,12,1.22,4,8
steel_oil_egp_ratio,5,0.51,0,5
steel_alu_egp_ratio,5,0.51,0,5
steel_alu_egp_ratio_z21,9,0.92,4,5
steel_oil_egp_ratio_z21,9,0.92,4,5
steel_coal_egp_ratio,5,0.51,0,5
steel_iron_ore_egp_ratio,5,0.51,0,5
steel_natgas_egp_ratio,5,0.51,0,5
cop_egp_ret_21,24,2.44,21,3
cop_egp_ret_5,8,0.81,5,3
oil_egp_ret_21,21,2.14,21,0
alu_egp_ret_5,5,0.51,5,0
alu_egp_ret_21,21,2.14,21,0
oil_egp_vol_21,5,0.51,5,0
cop_egp,0,0.0,0,0
cop_egp_vol_21,5,0.51,5,0
oil_egp_ret_5,5,0.51,5,0
oil_egp,0,0.0,0,0
alu_egp,0,0.0,0,0
cbe_rate_change_90,90,9.16,90,0
cbe_rate,0,0.0,0,0
egp_depreciation_ret_21,21,2.14,21,0
cbe_days_since_change,0,0.0,0,0
iron_ore_vol_6m,0,0.0,0,0
iron_ore_mom_12m,0,0.0,0,0
iron_ore_ret_1m,0,0.0,0,0
iron_ore_level,0,0.0,0,0
iron_ore_dev_12m,0,0.0,0,0
iron_ore_egp,0,0.0,0,0
coal_level,0,0.0,0,0
coal_ret_1m,0,0.0,0,0
coal_ret_3m,0,0.0,0,0
coal_vol_6m,0,0.0,0,0
iron_ore_mean_3m,0,0.0,0,0
iron_ore_ret_3m,0,0.0,0,0
coal_mean_3m,0,0.0,0,0
coal_mom_12m,0,0.0,0,0
coal_egp,0,0.0,0,0
coal_dev_12m,0,0.0,0,0
natgas_ret_1m,0,0.0,0,0
natgas_ret_3m,0,0.0,0,0
natgas_vol_6m,0,0.0,0,0
natgas_level,0,0.0,0,0
natgas_mom_12m,0,0.0,0,0
natgas_mean_3m,0,0.0,0,0
natgas_dev_12m,0,0.0,0,0
natgas_egp,0,0.0,0,0
egypt_cpi_inflation,0,0.0,0,0
egypt_cpi_inflation_change,1,0.1,1,0
egypt_gdp_growth,0,0.0,0,0
egypt_gdp_growth_change,1,0.1,1,0
